id,created_at,text
1247292263203561472,2020-04-06 22:37:03,"Doctors &amp; nurses are the true heroes of this crisis. 

They should be getting hazard pay for treating those w/ #COVID19, not wonder if they have enough PPE to keep themselves safe
 
Trump should make sure healthcare workers are the top priority as any federal PPE gets distributed https://t.co/wwsNmnXIsw"
1247250501290385415,2020-04-06 19:51:06,".@CDC, @CAPublicHealth, and @LAPublicHealth
 are leading the fight in this #covid19 public health emergency in #CA44.  

On National Public Health Week, we thank them -- and all healthcare professionalS -- for protecting our health. #NPHW https://t.co/1LLXhHsPiZ"
1247064703928397831,2020-04-06 07:32:49,"RT @HouseDemocrats: Staying home during this crisis is difficult for many, but especially for those who experience abuse. 

If you or a lov…"
1246601312130805762,2020-04-05 00:51:28,"“We cannot walk alone… We cannot turn back.” - Dr. Martin Luther King Jr. 
 
Even in times of crisis, we must remember that the fight for a better nation and world starts when we work TOGETHER.
 
Let us honor #MLK’s legacy by continuing his fight #ForThePeople.  #MLK52 https://t.co/28Y1Hx6eiI"
1246460208441724930,2020-04-04 15:30:46,RT @HispanicCaucus: Are you an entrepreneur or small business owner in need of relief during the coronavirus crisis? Learn more about what…
1246455653700255745,2020-04-04 15:12:40,RT @RepChuyGarcia: I shouldn't have to say this so many times—Our health care workers on the frontline of this #coronavirus crisis need pro…
1246187821368586242,2020-04-03 21:28:24,"RT @RepPeterDeFazio: After the 2008 crisis, 3.5 million Social Security beneficiaries and veterans did not receive their stimulus payments…"
1246148054237011968,2020-04-03 18:50:23,".@DHsgov finds million+ PPE masks critically needed by medical professionals but DHS is sending them to ICE instead of doctors

It’s outrageous. Proud to lead 19 members in demanding protective equipment in DHS Indiana warehouses be sent to doctors and nurses fighting #COVID19. https://t.co/7VDSjhOw2w"
1246101636231180293,2020-04-03 15:45:56,"Rent is due. Bills have to be paid.

The House sent $2.2 trillion in relief to the President to sign last week. 

Now, his administration is saying some folks have to wait 20 WEEKS to get their check. #WhereIsTheMoney 

https://t.co/FenOHGEKZM"
1245796631573921792,2020-04-02 19:33:57,"Older Californians need assistance now more than ever, as we #FlattenTheCurve. 

This hotline can help.  Make sure your loved ones know they can call it for services and help. #ca44 https://t.co/TB0rCtbMKd"
1245762957125898240,2020-04-02 17:20:08,"RT @lapublichealth: If you’re feeling stressed, depressed or anxious and need to talk with someone, call @LACDMH 24/7 Access Line (800) 854…"
1245747714148708354,2020-04-02 16:19:34,"RT @RepRaulGrijalva: Republicans wanted to scale back relief for Native Americans. The White House wanted to give $0 to tribes.

Democrats…"
1245731196631384066,2020-04-02 15:13:56,"The Paycheck Protection Program can help small business owners avoid laying off employees.  

Small businesses need help right away. @SBAgov must process applications quickly and make payments fast! https://t.co/JK956LdGWZ"
1245485824965251073,2020-04-01 22:58:55,"The White House should try meeting with health care providers about mask and ventilator shortages to fight #COVIDー19, not #BigOil companies https://t.co/HwzKRIpFBk"
1245466338480488448,2020-04-01 21:41:29,"So far, only 31% of people living in #CA44 have been counted for #2020Census - a much lower rate than the rest of the USA.  

#WeCount! Please #BeCounted!

We are especially behind in Wilmington, Watts, Lynwood, Carson &amp; San Pedro.

#BeCounted! #CensusDay

https://t.co/hanTsBnj5F"
1245453154881122306,2020-04-01 20:49:06,"The Congressional Art Competition deadline has been extended! For all creative students in #ca44, the #stayathomeorder has provided ample amount of time to perfect your submission. 📸🖍 https://t.co/U22Q7YDHdA"
1245426264661471233,2020-04-01 19:02:15,"Talk about wrong priorities!

Nat'l stockpile of protective equipment for doctors &amp; nurses is nearly empty, but Trump Admin is sending the rest to TSA &amp; ICE agents.

FEMA lied  when they said it was going to places that need it most to fight #COVIDー19.

https://t.co/KdDcQKwrLM"
1245412445407117314,2020-04-01 18:07:20,"Today is #CensusDay. 

Many of us are spending more time with our families indoors to #FlattenTheCurve. Please use this time to help our community get the resources it needs by completing the #2020Census online at https://t.co/CcT5CfhIPF . 

#BeCounted"
1245119054920044544,2020-03-31 22:41:30,"In their latest giveaway to big oil, @realDonaldTrump and @EPAAWheeler roll back #CleanerCars standards that protect public health and save consumers money. The result? America in reverse. Billions in consumer losses and increased rates of asthma and premature deaths."
1245094795627778048,2020-03-31 21:05:06,"The Congressional Art Competition deadline has been extended! Digital submissions are welcome and my office can coordinate to pick up any art work. For all creative students in #ca44, the #stayathomeorder has provided ample amount of time to perfect your submission. 📸🖍 https://t.co/aRsEGEVJPE"
1245055627703078912,2020-03-31 18:29:28,"On #EqualPayDay, we can’t ignore the fact that working from home during the #coronavirus crisis is a privilege 70% of workers don’t have. 

Low-wage Black &amp; Latinx employees, who already experience unequal pay, are least likely to be able to #stayhome &amp; stay employed."
1244998305941270528,2020-03-31 14:41:41,"Who cures us when we are sick? Who is on the front lines saving lives? #Doctors.
 
Doctors are real-life super heroes. As we face this #coronavirus pandemic, they are risking their lives to treat us and keep us safe.
 
Thank you!

#DoctorsDay #DoctorsDay2020 https://t.co/6IpgnIqTg7"
1244984977835655168,2020-03-31 13:48:44,"Every year, #CesarChavezDay honors the life of the iconic labor leader and activist. 
 
This year, let us remember the workers who keep this country going through the #coronavirus crisis. 
 
#ForThePeople https://t.co/KqrzqskiMv"
1244831849492312064,2020-03-31 03:40:15,Thank you for inspiring girls everywhere and for all you do! #powerwomen https://t.co/a7zdmWjeFU
1244706813255340034,2020-03-30 19:23:24,"#Census2020 is the 24th time the country has counted its population since 1790. All 24 times there has been an undercount of people of color and children. 

This year, let’s encourage our family, friends &amp; neighbors to #BeCounted. Fill yours out today ⬇️

https://t.co/CcT5CfhIPF"
1244401033813647360,2020-03-29 23:08:20,"The #CARESAct will help American families, workers and healthcare professionals get through the #COVID19 crisis. 

It is #ForThePeople. 

Click below to hear why I supported it. #CARESActStatement https://t.co/njRa69skzj"
1244361750947889153,2020-03-29 20:32:15,"On a call yesterday with Administration officials, including FEMA, I asked about this report &amp; the injustice. Officials confirmed that the masks would indeed go to healthcare workers and be prioritized by highest need such as NY and NJ. I will follow up to make sure this happens! https://t.co/cONcwayktE"
1244059295487905792,2020-03-29 00:30:24,"RT @lapublichealth: People with no symptoms can spread novel coronavirus, too. The best way to stop the spread is to #stayhome. Homebodies…"
1244005008330424320,2020-03-28 20:54:41,"RT @HouseDPCC: .@realdonaldtrump: Mr. Pres, this is abt getting $ to the American ppl as soon as possible, not abt getting credit. Don’t de…"
1243753073937231874,2020-03-28 04:13:35,Thank you @chefjoseandres and @WCKitchen for bringing much needed food and compassion to my district #CA44. Little Sisters of the Poor and I greatly appreciate your continued generosity and service to our communities. https://t.co/tO5VyHH3Rz
1243620145853083648,2020-03-27 19:25:22,"RT @HispanicCaucus: During this COVID19 crisis, we thank the 27K #Dreamers on the frontlines.
We must protect #DACA so that 700k #Dreamers,…"
